title,journals,pubmed_id,doi,impact,originality
"Evaluating health related quality of life in outpatients receiving anti-cancer treatment: results from an observational, cross-sectional study.",Health and quality of life outcomes,34663356,10.1186/s12955-021-01876-9,2.0,2.0
Pediatric palliative care at home by Home Care Unit: how home nurses feel?,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34661749,10.1007/s00520-021-06623-w,3.0,2.0
Effectiveness of a Psychosocial Care Quality Improvement Strategy to Address Quality of Life in Patients With Cancer: The HuCare2 Stepped-Wedge Cluster Randomized Trial.,JAMA network open,34648011,10.1001/jamanetworkopen.2021.28667,6.0,4.0
Patient and physician perspectives on engaging in palliative and healthcare trials: a qualitative descriptive study.,BMC palliative care,34645442,10.1186/s12904-021-00856-6,2.0,2.0
"Personalized versus standard cognitive behavioral therapy for fear of cancer recurrence, depressive symptoms or cancer-related fatigue in cancer survivors: study protocol of a randomized controlled trial (MATCH-study).",Trials,34641961,10.1186/s13063-021-05657-z,0.0,0.0
Polypharmacy in Palliative Care for Advanced Heart Failure: The PAL-HF Experience.,Journal of cardiac failure,34628013,10.1016/j.cardfail.2021.08.021,4.0,4.0
Effect of a Video-Assisted Advance Care Planning Intervention on End-of-Life Health Care Transitions Among Long-Stay Nursing Home Residents.,Journal of the American Medical Directors Association,34627753,10.1016/j.jamda.2021.09.014,2.0,2.0
Light Therapy for QoL/Depression in AYA With Cancer: A Randomized Trial.,Journal of pediatric psychology,34625800,10.1093/jpepsy/jsab098,6.0,6.0
Dispositional hope as a potential outcome parameter among patients with advanced malignancy: An analysis of the ENABLE database.,Cancer,34613617,10.1002/cncr.33907,5.0,6.0
Effect of Prophylactic Subcutaneous Scopolamine Butylbromide on Death Rattle in Patients at the End of Life: The SILENCE Randomized Clinical Trial.,JAMA,34609452,10.1001/jama.2021.14785,8.0,7.0
Sustained effects of mantra meditation compared to music listening on neurocognitive outcomes of breast cancer survivors: A brief report of a randomized control trial.,Journal of psychosomatic research,34600308,10.1016/j.jpsychores.2021.110628,3.0,7.0
Sense of Coherence as Predictor of Quality of Life in Early Breast Cancer Patients.,Anticancer research,34593453,10.21873/anticanres.15319,3.0,3.0
"Experience of symptom control, anxiety and associating factors in a palliative care unit evaluated with Support Team Assessment Schedule Japanese version.",Scientific reports,34588477,10.1038/s41598-021-97143-4,1.0,1.0
Treatment response after palliative radiotherapy for bleeding gastric cancer: a multicenter prospective observational study (JROSG 17-3).,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,34580795,10.1007/s10120-021-01254-w,2.0,2.0
Palliative Care Consultation Services on Terminally Ill Cancer Patients and Non-Cancer Patients: Trend Analysis from a 9-Year-Long Observational Study in Taiwan.,International journal of environmental research and public health,34574805,10.3390/ijerph18189882,2.0,2.0
Medication chart review at end of life of paediatric palliative patients.,Journal of paediatrics and child health,34553811,10.1111/jpc.15719,3.0,3.0
"""Saying goodbye all alone with no close support was difficult""- Dying during the COVID-19 pandemic: an online survey among bereaved relatives about end-of-life care for patients with or without SARS-CoV2 infection.",BMC health services research,34551766,10.1186/s12913-021-06987-z,8.0,6.0
Survival analysis of a prospective multicenter observational study on surgical palliation among patients with malignant bowel obstruction caused by peritoneal dissemination of gastric cancer.,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,34550490,10.1007/s10120-021-01251-z,6.0,5.0
Disparities in Care Management During Terminal Hospitalization Among Adults With Metastatic Cancer From 2010 to 2017.,JAMA network open,34550384,10.1001/jamanetworkopen.2021.25328,4.0,4.0
Distress in a Pandemic: Association of the Coronavirus Disease-2019 Pandemic with Distress and Quality of Life in Hematopoietic Stem Cell Transplantation.,Transplantation and cellular therapy,34536571,10.1016/j.jtct.2021.09.001,2.0,3.0
Evaluating satisfaction with the quality and provision of end-of-life care for patients from diverse ethnocultural backgrounds.,BMC palliative care,34535122,10.1186/s12904-021-00841-z,1.0,1.0
"Effects of a Low-Carbohydrate Ketogenic Diet on Reported Pain, Blood Biomarkers and Quality of Life in Patients with Chronic Pain: A Pilot Randomized Clinical Trial.","Pain medicine (Malden, Mass.)",34534353,10.1093/pm/pnab278,6.0,6.0
Palliative radiotherapy for painful lymph node metastases.,"Radiation oncology (London, England)",34530897,10.1186/s13014-021-01900-8,3.0,4.0
An evaluation of interventions to improve outcomes for hospitalized patients in isolation: A systematic review.,American journal of infection control,34525405,10.1016/j.ajic.2021.09.002,0.0,0.0
Interplay between spirituality and religiosity on the physical and mental well-being of cancer survivors.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34524528,10.1007/s00520-021-06534-w,8.0,8.0
Comparing the effect of a consult model versus an integrated palliative care and medical oncology co-rounding model on health care utilization in an acute hospital - an open-label stepped-wedge cluster-randomized trial.,Palliative medicine,34524044,10.1177/02692163211022957,4.0,6.0
Psychological difficulties of LVAD patients and caregivers: A follow up over one year from discharge.,Artificial organs,34519060,10.1111/aor.14071,7.0,6.0
"""Do-not-resuscitate (DNR)"" status determines mortality in patients with COVID-19.",Clinics in dermatology,34518012,10.1016/j.clindermatol.2020.11.013,0.0,0.0
Effect of an Oncology Nurse-Led Primary Palliative Care Intervention on Patients With Advanced Cancer: The CONNECT Cluster Randomized Clinical Trial.,JAMA internal medicine,34515737,10.1001/jamainternmed.2021.5185,9.0,8.0
Identification of Palliative Care Needs in Cancer Patients in a Surgical Emergency Center.,Journal of pain and symptom management,34509595,10.1016/j.jpainsymman.2021.08.008,6.0,4.0
"Effects of Intradialytic Exercise on Dialytic Parameters, Health-Related Quality of Life, and Depression Status in Hemodialysis Patients: A Randomized Controlled Trial.",International journal of environmental research and public health,34501792,10.3390/ijerph18179205,8.0,7.0
Emotional distress in neuro-ICU survivor-caregiver dyads: The recovering together randomized clinical trial.,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",34498896,10.1037/hea0001102,5.0,8.0
Unwelcome memento mori or best clinical practice? Community end of life anticipatory medication prescribing practice: A mixed methods observational study.,Palliative medicine,34493122,10.1177/02692163211043382,5.0,7.0
"Patients' preferred place of death: patients are willing to consider their preferences, but someone has to ask them.",Age and ageing,34473834,10.1093/ageing/afab176,3.0,4.0
Hospice and Comfort Care Patient Utilization of Emergency Medical Services.,Journal of palliative medicine,34468199,10.1089/jpm.2021.0143,4.0,5.0
Palliative care and coping in patients with acute myeloid leukemia: Mediation analysis of data from a randomized clinical trial.,Cancer,34460937,10.1002/cncr.33886,10.0,8.0
"Perceived patient-centered communication, quality of life, and symptom burden in individuals with ovarian cancer.",Gynecologic oncology,34454724,10.1016/j.ygyno.2021.08.007,7.0,7.0
Corticosteroids for COVID-19 symptoms and quality of life at 1 year from admission.,Journal of medical virology,34436783,10.1002/jmv.27296,0.0,0.0
Analysis of high-intensity care in intensive care units and its cost at the end of life among older people in South Korea between 2016 and 2019: a cross-sectional study of the health insurance review and assessment service national patient sample database.,BMJ open,34433604,10.1136/bmjopen-2021-049711,4.0,5.0
High-Intensity Care in the End-of-Life Phase of Castration-Resistant Prostate Cancer Patients: Results from the Dutch CAPRI-Registry.,Journal of palliative medicine,34415798,10.1089/jpm.2020.0800,3.0,3.0
Prospective observational study of palliative care in hematological malignancies: Report of one year of practice.,Transfusion clinique et biologique : journal de la Societe francaise de transfusion sanguine,34411747,10.1016/j.tracli.2021.08.003,3.0,3.0
The Association Between the Decision to Withdraw Life-Sustaining Therapy and Patient Mortality in U.K. ICUs.,Critical care medicine,34402458,10.1097/CCM.0000000000005306,7.0,5.0
The relationship between emotional well-being and understanding of prognosis in patients with acute myeloid leukemia (AML).,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34401981,10.1007/s00520-021-06499-w,4.0,6.0
Meaning-Centered Pain Coping Skills Training: A Pilot Feasibility Trial of a Psychosocial Pain Management Intervention for Patients with Advanced Cancer.,Journal of palliative medicine,34388037,10.1089/jpm.2021.0081,5.0,7.0
Colleagues Meeting to Promote and Sustain Satisfaction (COMPASS) Groups for Physician Well-Being: A Randomized Clinical Trial.,Mayo Clinic proceedings,34366134,10.1016/j.mayocp.2021.02.028,5.0,7.0
Variations in end-of-life practices in intensive care units worldwide (Ethicus-2): a prospective observational study.,The Lancet. Respiratory medicine,34364537,10.1016/S2213-2600(21)00261-7,8.0,8.0
Exploring the Impact of Different Types of Do-Not-Resuscitate Consent on End-of-Life Treatments among Patients with Advanced Kidney Disease: An Observational Study.,International journal of environmental research and public health,34360487,10.3390/ijerph18158194,5.0,6.0
Treatment limitations in intensive care units.,Danish medical journal,34356015,,4.0,4.0
[Communication about in hospital resuscitation orders].,Nederlands tijdschrift voor geneeskunde,34346627,,6.0,6.0
Impact of Standardized Educational Intervention on Improvement in Analgesic Knowledge and Its Compliance among Patients of Advanced Cancer Patients Attending Palliative Clinic: Prospective Randomized Study.,Journal of pain & palliative care pharmacotherapy,34344273,10.1080/15360288.2021.1915442,4.0,3.0
An Early Palliative Care Telehealth Coaching Intervention to Enhance Advanced Cancer Family Caregivers' Decision Support Skills: The CASCADE Pilot Factorial Trial.,Journal of pain and symptom management,34343621,10.1016/j.jpainsymman.2021.07.023,2.0,3.0
Analysis of how nurses cope facing the death of a paediatric patient.,Enfermeria intensiva,34334331,10.1016/j.enfie.2020.03.006,2.0,3.0
Which are the most prevalent ethical conflicts for Spanish internists?,Revista clinica espanola,34332701,10.1016/j.rceng.2020.05.015,7.0,7.0
"Process, content, and experiences of delivering the Carer Support Needs Assessment Tool Intervention (CSNAT-I) in the Danish specialised palliative care setting.",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34296334,10.1007/s00520-021-06432-1,5.0,7.0
Context and mechanisms that enable implementation of specialist palliative care Needs Rounds in care homes: results from a qualitative interview study.,BMC palliative care,34294068,10.1186/s12904-021-00812-4,3.0,4.0
Community implementation of the 3 Wishes Project: an observational study of a compassionate end-of-life care initiative for critically ill patients.,CMAJ open,34285055,10.9778/cmajo.20200273,7.0,9.0
"Bereaved relatives' quality of life before and during the COVID-19 pandemic: Results of the prospective, multicenter, observational eQuiPe study.",Palliative medicine,34282688,10.1177/02692163211034120,5.0,6.0
Long-term complications in patients implanted with subcutaneous implantable cardioverter-defibrillators: Real-world data from the extended ELISIR experience.,Heart rhythm,34271173,10.1016/j.hrthm.2021.07.008,0.0,0.0
Natural Language Processing to Identify Advance Care Planning Documentation in a Multisite Pragmatic Clinical Trial.,Journal of pain and symptom management,34271146,10.1016/j.jpainsymman.2021.06.025,3.0,7.0
Patient-Reported Symptom and Functioning Status during the First 12 Months after Chimeric Antigen Receptor T Cell Therapy for Hematologic Malignancies.,Transplantation and cellular therapy,34265479,10.1016/j.jtct.2021.07.007,0.0,0.0
Data from emergency medicine palliative care access (EMPallA): a randomized controlled trial comparing the effectiveness of specialty outpatient versus telephonic palliative care of older adults with advanced illness presenting to the emergency department.,BMC emergency medicine,34247588,10.1186/s12873-021-00478-4,5.0,5.0
Impact of a combined integrative oncology and palliative care program on quality of life of patients with advanced cancer.,"Medical oncology (Northwood, London, England)",34241706,10.1007/s12032-021-01544-4,7.0,7.0
Symptom clusters and their influence on prognosis using EORTC QLQ-C15-PAL scores in terminally ill patients with cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34241700,10.1007/s00520-021-06380-w,3.0,3.0
Predictive Factors for the Development of Dyspnea Within 7 Days After Admission Among Terminally Ill Cancer Patients.,The American journal of hospice & palliative care,34235973,10.1177/10499091211028817,3.0,3.0
Factors for Timely Identification of Possible Occurrence of Delirium in Palliative Care: A Prospective Observational Study.,Advances in therapy,34228345,10.1007/s12325-021-01814-7,3.0,3.0
A general model of conversational dynamics and an example application in serious illness communication.,PloS one,34197490,10.1371/journal.pone.0253124,3.0,6.0
"Documentation of ethically relevant information in out-of-hospital resuscitation is rare: a Danish nationwide observational study of 16,495 out-of-hospital cardiac arrests.",BMC medical ethics,34193147,10.1186/s12910-021-00654-y,3.0,8.0
Shifting palliative care paradigm in primary care from better death to better end-of-life: a Swiss pilot study.,BMC health services research,34193128,10.1186/s12913-021-06664-1,3.0,3.0
Elobixibat Effectively Relieves Chronic Constipation in Patients with Cancer Regardless of the Amount of Food Intake.,The oncologist,34180099,10.1002/onco.13879,8.0,7.0
A Portuguese trial using dignity therapy for adults who have a life-threatening disease: Qualitative analysis of generativity documents.,Palliative & supportive care,34172103,10.1017/S1478951521000754,6.0,5.0
Brief Engagement and Acceptance Coaching for Hospice Settings (the BEACHeS study): results from a Phase I study of acceptability and initial effectiveness in people with non-curative cancer.,BMC palliative care,34172029,10.1186/s12904-021-00801-7,4.0,4.0
OUTpatient intravenous LASix Trial in reducing hospitalization for acute decompensated heart failure (OUTLAST).,PloS one,34170908,10.1371/journal.pone.0253014,5.0,8.0
What Surrogates Understand (and Don't Understand) About Patients' Wishes After Engaging Advance Care Planning: A Qualitative Analysis.,The American journal of hospice & palliative care,34164999,10.1177/10499091211026674,6.0,6.0
"Does it Matter Who Decides? Outcomes of Surrogate Decision-Making for Community-Dwelling, Cognitively Impaired Older Adults Near the End of Life.",Journal of pain and symptom management,34153462,10.1016/j.jpainsymman.2021.06.009,6.0,8.0
Community-based short-term integrated palliative and supportive care reduces symptom distress for older people with chronic noncancer conditions compared with usual care: A randomised controlled single-blind mixed method trial.,International journal of nursing studies,34146843,10.1016/j.ijnurstu.2021.103978,6.0,6.0
"Longitudinal changes in spiritual well-being and associations with emotional distress, pain, and optimism-pessimism: a prospective observational study of terminal cancer patients admitted to a palliative care unit.",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34146165,10.1007/s00520-021-06320-8,3.0,4.0
Effects of Staff Training on Nursing Home Residents' End-Of-Life Care: A Randomized Controlled Trial.,Journal of the American Medical Directors Association,34133971,10.1016/j.jamda.2021.05.019,8.0,7.0
Designing a need-based program for relieving psychological distress of family caregivers of leukemia patients: a randomized controlled trial.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34131846,10.1007/s00520-021-06353-z,4.0,4.0
"Psychological Resilience, Metacognitions, and Fear of Recurrence Among Cancer Survivors and Family Caregivers.",Cancer nursing,34120129,10.1097/NCC.0000000000000973,5.0,6.0
Perceptions of Need for Palliative Care in Recently Hospitalized Patients With Systolic Heart Failure.,Journal of pain and symptom management,34119619,10.1016/j.jpainsymman.2021.06.001,5.0,5.0
"Validation of ""Care of the Dying Evaluation"" in Emergency Medicine (CODE-EM): pilot phase of end-of-life management protocol offered within emergency room (EMPOWER) study.",Annals of palliative medicine,34118856,10.21037/apm-21-380,2.0,4.0
Mental health status and quality of life in patients with end-stage renal disease undergoing maintenance hemodialysis.,Annals of palliative medicine,34118836,10.21037/apm-20-2211,3.0,2.0
A randomized controlled trial of structured palliative care versus standard supportive care for patients enrolled in phase 1 clinical trials.,Cancer medicine,34033228,10.1002/cam4.3971,7.0,5.0
Development of Care Curves Following the Stage 1 Palliation: A Comparison of Intensive Care Among 5 Centers.,Journal of the American Heart Association,34013742,10.1161/JAHA.120.019396,0.0,0.0
Nurse-Led Palliative Care Clinical Trial Improves Knowledge and Preparedness in Caregivers of Patients with Idiopathic Pulmonary Fibrosis.,Annals of the American Thoracic Society,34003726,10.1513/AnnalsATS.202012-1494OC,7.0,7.0
"Early, integrated palliative rehabilitation improves quality of life of patients with newly diagnosed advanced cancer: The Pal-Rehab randomized controlled trial.",Palliative medicine,34000886,10.1177/02692163211015574,8.0,7.0
Optimal Paracentesis Volume for Terminally Ill Cancer Patients With Ascites.,Journal of pain and symptom management,33933616,10.1016/j.jpainsymman.2021.04.010,4.0,5.0
Chemotherapy use in end-of-life digestive cancer patients: a retrospective AGEO observational study.,Clinics and research in hepatology and gastroenterology,33930588,10.1016/j.clinre.2021.101709,6.0,7.0
Statistical analysis plan for the Surgery for Cancer with Option of Palliative Care Expert (SCOPE) trial: a randomized controlled trial of a specialist palliative care intervention for patients undergoing surgery for cancer.,Trials,33926535,10.1186/s13063-021-05256-y,0.0,0.0
Single early palliative care intervention added to usual oncology care for patients with advanced cancer: A randomized controlled trial (SENS Trial).,Palliative medicine,33908288,10.1177/02692163211005340,9.0,6.0
Reluctance to Accept Palliative Care and Recommendations for Improvement: Findings From Semi-Structured Interviews With Patients and Caregivers.,The American journal of hospice & palliative care,33896233,10.1177/10499091211012605,5.0,5.0
Shifting trends in modes of death in the Intensive Care Unit.,Journal of critical care,33878518,10.1016/j.jcrc.2021.04.003,3.0,4.0
"""Song of Life"": Results of a multicenter randomized trial on the effects of biographical music therapy in palliative care.",Palliative medicine,33876660,10.1177/02692163211010394,6.0,9.0
Differences in end-of-life care and outcomes in palliative consultation-eligible patients with and without do-not-resuscitate orders: A propensity score-matched study.,Journal of the Chinese Medical Association : JCMA,33871389,10.1097/JCMA.0000000000000531,4.0,3.0
"'Mums are sacred, and mums don't die': A mixed-methods study of adult child-parent dyadic relationships at the end of life.",Journal of psychosocial oncology,33866953,10.1080/07347332.2021.1902452,4.0,6.0
The relationship between life-sustaining treatment limitation and organ donation in Swedish intensive care: A nationwide register study.,Acta anaesthesiologica Scandinavica,33866543,10.1111/aas.13832,5.0,5.0
Increasing Readiness for Early Integrated Palliative Oncology Care: Development and Initial Evaluation of the EMPOWER 2 Intervention.,Journal of pain and symptom management,33864847,10.1016/j.jpainsymman.2021.03.027,8.0,7.0
Perceptions of involvement in advance care planning and emotional functioning in patients with advanced cancer.,Journal of cancer survivorship : research and practice,33840000,10.1007/s11764-021-01020-y,8.0,7.0
Prevalence of therapeutic and diagnostic procedures in the last 14 days of life in hospital patients: a single-center observational study from Germany.,Annals of palliative medicine,33832308,10.21037/apm-20-2435,4.0,4.0
Palliative care for patients undergoing stem cell transplant: intervention components and supportive care measures.,Bone marrow transplantation,33824441,10.1038/s41409-021-01281-2,7.0,6.0
"Do-not-attempt-resuscitation orders: attitudes, perceptions and practices of Swedish physicians and nurses.",BMC medical ethics,33785001,10.1186/s12910-021-00604-8,8.0,6.0
Nasal fentanyl and buccal midazolam carer administration 'as needed' for breakthrough symptom control in a specialist palliative care unit: a nested qualitative study.,BMJ supportive & palliative care,33766820,10.1136/bmjspcare-2020-002729,3.0,3.0
Treatment effects of palliative care consultation and patient contentment: A monocentric observational study.,Medicine,33761631,10.1097/MD.0000000000024320,5.0,5.0
Mapping end-of-life and anticipatory medications in palliative care patients using a longitudinal general practice database.,Palliative & supportive care,33750494,10.1017/S1478951521000092,5.0,4.0
Acceptability and Feasibility of Early Palliative Care Among Women with Advanced Epithelial Ovarian Cancer: A Randomized Controlled Pilot Study.,Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC,33731311,10.1016/j.jogc.2021.03.005,6.0,6.0
The Cost-Effectiveness of Palliative Care: Insights from the PAL-HF Trial.,Journal of cardiac failure,33731305,10.1016/j.cardfail.2021.02.019,6.0,6.0
No difference in effects of 'PACE steps to success' palliative care program for nursing home residents with and without dementia: a pre-planned subgroup analysis of the seven-country PACE trial.,BMC palliative care,33678179,10.1186/s12904-021-00734-1,7.0,6.0
"Mindfulness-Based Compassion Training for Health Professionals Providing End-of-Life Care: Impact, Feasibility, and Acceptability.",Journal of palliative medicine,33666500,10.1089/jpm.2020.0358,6.0,7.0
"Observational study of agreement between attending and trainee physicians on the surprise question: ""Would you be surprised if this patient died in the next 12 months?""",PloS one,33630939,10.1371/journal.pone.0247571,7.0,8.0
[How does one die from SARS-CoV-2 infection? Analysis of the death process in patients admitted to an acute hospital].,Journal of healthcare quality research,33622637,10.1016/j.jhqr.2020.11.006,0.0,0.0
Priorities of Unmet Needs for Those Affected by Colorectal Cancer: Considerations From a Series of Nominal Group Technique Sessions.,Journal of the National Comprehensive Cancer Network : JNCCN,33607609,10.6004/jnccn.2020.7655,5.0,4.0
Effect of Early Palliative Care on Quality of Life of Advanced Head and Neck Cancer Patients: A Phase III Trial.,Journal of the National Cancer Institute,33606023,10.1093/jnci/djab020,6.0,5.0
Dexmedetomidine for hyperactive delirium at the end of life: An open-label single arm pilot study with dose escalation in adult patients admitted to an inpatient palliative care unit.,Palliative medicine,33593115,10.1177/0269216321994440,7.0,6.0
The Potential of Personalized Virtual Reality in Palliative Care: A Feasibility Trial.,The American journal of hospice & palliative care,33583203,10.1177/1049909121994299,1.0,6.0
Comparison of high-flow nasal oxygen therapy and non-invasive ventilation in ICU patients with acute respiratory failure and a do-not-intubate orders: a multicentre prospective study OXYPAL.,BMJ open,33579774,10.1136/bmjopen-2020-045659,0.0,0.0
Hospitalization Rates Before and After Palliative Care Utilization for Heart Failure Patients (from a Nationwide Sample).,The American journal of cardiology,33561424,10.1016/j.amjcard.2021.02.002,0.0,0.0
"The Challenges of Caring for People Dying From COVID-19: A Multinational, Observational Study (CovPall).",Journal of pain and symptom management,33556496,10.1016/j.jpainsymman.2021.01.138,6.0,6.0
The impact of palliative care education and training program on the resident physicians.,Annals of palliative medicine,33549004,10.21037/apm-20-1625,1.0,2.0
Comparison of Two Methods for Implementing Comfort Care Order Sets in the Inpatient Setting: a Cluster Randomized Trial.,Journal of general internal medicine,33547573,10.1007/s11606-020-06482-x,2.0,2.0
Advance Care Planning-Complex and Working: Longitudinal Trajectory of Congruence in End-of-Life Treatment Preferences: An RCT.,The American journal of hospice & palliative care,33530701,10.1177/1049909121991807,6.0,6.0
Caregivers' Loss of the Dyadic Experience after Their Care Partners' Death.,Western journal of nursing research,33514300,10.1177/0193945921990426,2.0,2.0
Testosterone for Managing Treatment-related Fatigue in Patients With Metastatic Renal Cell Carcinoma: A Phase 2 Randomized Study FARETES.,American journal of clinical oncology,33512910,10.1097/COC.0000000000000797,8.0,7.0
Effectiveness of a specialised breathlessness service for patients with advanced disease in Germany: a pragmatic fast-track randomised controlled trial (BreathEase).,The European respiratory journal,33509957,10.1183/13993003.02139-2020,6.0,6.0
"Differences in Characteristics, Hospital Care and Outcomes between Acute Critically Ill Emergency Department Patients with Early and Late Do-Not-Resuscitate Orders.",International journal of environmental research and public health,33503811,10.3390/ijerph18031028,3.0,2.0
Adding Ritualized Chanting to the Palliative Care of Cancer Patients at the End of Life: A Randomized Controlled Trial.,Journal of social work in end-of-life & palliative care,33491604,10.1080/15524256.2021.1871703,0.0,4.0
How much time do we have? Longitudinal perception of prognosis in newly-diagnosed high grade glioma patients and caregivers compared to clinicians.,Journal of neuro-oncology,33486637,10.1007/s11060-021-03700-2,5.0,8.0
CBT for Prolonged Grief in Children and Adolescents: A Randomized Clinical Trial.,The American journal of psychiatry,33472391,10.1176/appi.ajp.2020.20050548,6.0,6.0
Dementia and Early Do-Not-Resuscitate Orders Associated With Less Intensive of End-of-Life Care: A Retrospective Cohort Study.,The American journal of hospice & palliative care,33467864,10.1177/1049909121989020,2.0,2.0
Chaplaincy Care in the MICU: Examining the Association Between Spiritual Care and End-of-Life Outcomes.,The American journal of hospice & palliative care,33464118,10.1177/1049909120987218,1.0,3.0
Impacts of multidisciplinary meeting case discussion on palliative care referral and end-of-life care in lung cancer: a retrospective observational study.,Internal medicine journal,33463032,10.1111/imj.15215,6.0,8.0
"To hydrate or not to hydrate? The effect of hydration on survival, symptoms and quality of dying among terminally ill cancer patients.",BMC palliative care,33435925,10.1186/s12904-021-00710-9,8.0,8.0
Early palliative intervention: effects on patient care satisfaction in advanced cancer.,BMJ supportive & palliative care,33419858,10.1136/bmjspcare-2020-002710,6.0,5.0
Quality of Life of Patients With Cancer During the COVID-19 Pandemic.,"In vivo (Athens, Greece)",33402524,10.21873/invivo.12306,4.0,4.0
Not Telling Patients Their Cancer Diagnosis in Egypt: Is It Associated With Less Anxiety and Depression and Better Quality of Life?,JCO global oncology,35728012,10.1200/GO.22.00080,2.0,2.0
Oxycodone/naloxone versus tapentadol in real-world chronic non-cancer pain management: an observational and pharmacogenetic study.,Scientific reports,35710811,10.1038/s41598-022-13085-5,4.0,4.0
